movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
pirates of the caribbean: on stranger tides,action adventure fantasy,blackbeard captain pirate revenge soldier,johnny depp,sam claflin,stephen graham,rob marshall,action adventure fantasy blackbeard captain pirate revenge soldier johnny depp sam claflin stephen graham rob marshall
men in black 3,action adventure comedy family fantasy sci-fi,alien criminal m.i.b. maximum security prison prison,will smith,michael stuhlbarg,nicole scherzinger,barry sonnenfeld,action adventure comedy family fantasy sci-fi alien criminal m.i.b. maximum security prison prison will smith michael stuhlbarg nicole scherzinger barry sonnenfeld
the hobbit: the battle of the five armies,adventure fantasy,army elf hobbit middle earth orc,aidan turner,adam brown,james nesbitt,peter jackson,adventure fantasy army elf hobbit middle earth orc aidan turner adam brown james nesbitt peter jackson
the amazing spider-man,action adventure fantasy,lizard outcast spider spider man teenager,emma stone,andrew garfield,chris zylka,marc webb,action adventure fantasy lizard outcast spider spider man teenager emma stone andrew garfield chris zylka marc webb
robin hood,action adventure drama history,1190s archer england king of england robin hood,mark addy,william hurt,scott grimes,ridley scott,action adventure drama history 1190s archer england king of england robin hood mark addy william hurt scott grimes ridley scott
the hobbit: the desolation of smaug,adventure fantasy,dwarf elf lake town mountain sword and sorcery,aidan turner,adam brown,james nesbitt,peter jackson,adventure fantasy dwarf elf lake town mountain sword and sorcery aidan turner adam brown james nesbitt peter jackson
the golden compass,adventure family fantasy,children epic friend girl quest,christopher lee,eva green,kristin scott thomas,chris weitz,adventure family fantasy children epic friend girl quest christopher lee eva green kristin scott thomas chris weitz
king kong,action adventure drama romance,animal name in title ape abducts a woman gorilla island king kong,naomi watts,thomas kretschmann,evan parke,peter jackson,action adventure drama romance animal name in title ape abducts a woman gorilla island king kong naomi watts thomas kretschmann evan parke peter jackson
titanic,drama romance,artist love ship titanic wet,leonardo dicaprio,kate winslet,gloria stuart,james cameron,drama romance artist love ship titanic wet leonardo dicaprio kate winslet gloria stuart james cameron
captain america: civil war,action adventure sci-fi,based on comic book knife marvel cinematic universe returning character killed off superhero,robert downey jr.,scarlett johansson,chris evans,anthony russo,action adventure sci-fi based on comic book knife marvel cinematic universe returning character killed off superhero robert downey jr. scarlett johansson chris evans anthony russo
battleship,action adventure sci-fi thriller,box office flop hawaii naval oahu hawaii ship,liam neeson,alexander skarsgård,tadanobu asano,peter berg,action adventure sci-fi thriller box office flop hawaii naval oahu hawaii ship liam neeson alexander skarsgård tadanobu asano peter berg
jurassic world,action adventure sci-fi thriller,dinosaur disaster film experiment gone wrong jurassic park velociraptor,bryce dallas howard,judy greer,omar sy,colin trevorrow,action adventure sci-fi thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor bryce dallas howard judy greer omar sy colin trevorrow
skyfall,action adventure thriller,brawl childhood home computer cracker intelligence agency terrorist cell,albert finney,helen mccrory,rory kinnear,sam mendes,action adventure thriller brawl childhood home computer cracker intelligence agency terrorist cell albert finney helen mccrory rory kinnear sam mendes
spider-man 2,action adventure fantasy romance,death doctor scientist super villain tentacle,j.k. simmons,james franco,kirsten dunst,sam raimi,action adventure fantasy romance death doctor scientist super villain tentacle j.k. simmons james franco kirsten dunst sam raimi
iron man 3,action adventure sci-fi,armor explosion human bomb missile attack terrorist,robert downey jr.,jon favreau,don cheadle,shane black,action adventure sci-fi armor explosion human bomb missile attack terrorist robert downey jr. jon favreau don cheadle shane black
alice in wonderland,adventure family fantasy,alice in wonderland mistaking reality for dream queen shrinking shrinking potion,johnny depp,alan rickman,anne hathaway,tim burton,adventure family fantasy alice in wonderland mistaking reality for dream queen shrinking shrinking potion johnny depp alan rickman anne hathaway tim burton
x-men: the last stand,action adventure fantasy sci-fi thriller,battle mutant outrage walking through a wall x men,hugh jackman,kelsey grammer,daniel cudmore,brett ratner,action adventure fantasy sci-fi thriller battle mutant outrage walking through a wall x men hugh jackman kelsey grammer daniel cudmore brett ratner
monsters university,adventure animation comedy family fantasy,cheating fraternity monster singing in a car university,steve buscemi,tyler labine,sean hayes,dan scanlon,adventure animation comedy family fantasy cheating fraternity monster singing in a car university steve buscemi tyler labine sean hayes dan scanlon
transformers: revenge of the fallen,action adventure sci-fi,autobot decepticon machine sun symbol,glenn morshower,kevin dunn,ramon rodriguez,michael bay,action adventure sci-fi autobot decepticon machine sun symbol glenn morshower kevin dunn ramon rodriguez michael bay
transformers: age of extinction,action adventure sci-fi,blockbuster bumblebee the character semi truck and trailer texas truck,bingbing li,sophia myles,kelsey grammer,michael bay,action adventure sci-fi blockbuster bumblebee the character semi truck and trailer texas truck bingbing li sophia myles kelsey grammer michael bay
oz the great and powerful,adventure family fantasy,circus magic magician oz witch,tim holmes,mila kunis,james franco,sam raimi,adventure family fantasy circus magic magician oz witch tim holmes mila kunis james franco sam raimi
the amazing spider-man 2,action adventure fantasy sci-fi,costumed hero death of girlfriend masked vigilante returning character killed off teenager,emma stone,andrew garfield,b.j. novak,marc webb,action adventure fantasy sci-fi costumed hero death of girlfriend masked vigilante returning character killed off teenager emma stone andrew garfield b.j. novak marc webb
tron: legacy,action adventure sci-fi,arcade bridge disappearance escape warrior,jeff bridges,olivia wilde,james frain,joseph kosinski,action adventure sci-fi arcade bridge disappearance escape warrior jeff bridges olivia wilde james frain joseph kosinski
cars 2,adventure animation comedy family sport,best friend car race conspiracy gadget car spy,joe mantegna,thomas kretschmann,eddie izzard,john lasseter,adventure animation comedy family sport best friend car race conspiracy gadget car spy joe mantegna thomas kretschmann eddie izzard john lasseter
green lantern,action adventure sci-fi,autopsy lantern planet ring test pilot,ryan reynolds,temuera morrison,taika waititi,martin campbell,action adventure sci-fi autopsy lantern planet ring test pilot ryan reynolds temuera morrison taika waititi martin campbell
toy story 3,adventure animation comedy family fantasy,college day care escape teddy bear toy,tom hanks,john ratzenberger,don rickles,lee unkrich,adventure animation comedy family fantasy college day care escape teddy bear toy tom hanks john ratzenberger don rickles lee unkrich
terminator salvation,action adventure sci-fi,death row future machine rescue skynet,christian bale,bryce dallas howard,common,mcg,action adventure sci-fi death row future machine rescue skynet christian bale bryce dallas howard common mcg
furious 7,action crime thriller,car falling off a cliff hospital revenge star died before release terrorist,jason statham,paul walker,vin diesel,james wan,action crime thriller car falling off a cliff hospital revenge star died before release terrorist jason statham paul walker vin diesel james wan
world war z,action adventure horror sci-fi thriller,chaos disease infection pandemic zombie,peter capaldi,brad pitt,mireille enos,marc forster,action adventure horror sci-fi thriller chaos disease infection pandemic zombie peter capaldi brad pitt mireille enos marc forster
x-men: days of future past,action adventure fantasy sci-fi thriller,dystopia super strength supernatural power time paradox time travel,jennifer lawrence,peter dinklage,hugh jackman,bryan singer,action adventure fantasy sci-fi thriller dystopia super strength supernatural power time paradox time travel jennifer lawrence peter dinklage hugh jackman bryan singer
star trek into darkness,action adventure sci-fi,admiral captain manhunt mission space,benedict cumberbatch,bruce greenwood,noel clarke,j.j. abrams,action adventure sci-fi admiral captain manhunt mission space benedict cumberbatch bruce greenwood noel clarke j.j. abrams
jack the giant slayer,adventure fantasy,bean giant king no opening credits princess,eddie marsan,ewen bremner,ralph brown,bryan singer,adventure fantasy bean giant king no opening credits princess eddie marsan ewen bremner ralph brown bryan singer
the great gatsby,drama romance,ingratitude mansion party title appears in writing tragedy,leonardo dicaprio,elizabeth debicki,steve bisley,baz luhrmann,drama romance ingratitude mansion party title appears in writing tragedy leonardo dicaprio elizabeth debicki steve bisley baz luhrmann
prince of persia: the sands of time,action adventure fantasy romance,alamut dagger king persia princess,jake gyllenhaal,richard coyle,reece ritchie,mike newell,action adventure fantasy romance alamut dagger king persia princess jake gyllenhaal richard coyle reece ritchie mike newell
pacific rim,action adventure sci-fi,giant monster kaiju pilot portal robot,charlie hunnam,clifton collins jr.,larry joe campbell,guillermo del toro,action adventure sci-fi giant monster kaiju pilot portal robot charlie hunnam clifton collins jr. larry joe campbell guillermo del toro
transformers: dark of the moon,action adventure sci-fi,autobot decepticon job interview moon spacecraft,glenn morshower,lester speight,kevin dunn,michael bay,action adventure sci-fi autobot decepticon job interview moon spacecraft glenn morshower lester speight kevin dunn michael bay
indiana jones and the kingdom of the crystal skull,action adventure fantasy,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,harrison ford,ray winstone,jim broadbent,steven spielberg,action adventure fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957 harrison ford ray winstone jim broadbent steven spielberg
the good dinosaur,adventure animation comedy family fantasy,apatosaurus asteroid dinosaur fear river,a.j. buckley,jack mcgraw,peter sohn,peter sohn,adventure animation comedy family fantasy apatosaurus asteroid dinosaur fear river a.j. buckley jack mcgraw peter sohn peter sohn
brave,adventure animation comedy family fantasy,archery coming of age female warrior princess rebellious daughter,kelly macdonald,john ratzenberger,julie walters,mark andrews,adventure animation comedy family fantasy archery coming of age female warrior princess rebellious daughter kelly macdonald john ratzenberger julie walters mark andrews
star trek beyond,action adventure sci-fi thriller,hatred sequel space opera star trek third part,sofia boutella,melissa roxburgh,lydia wilson,justin lin,action adventure sci-fi thriller hatred sequel space opera star trek third part sofia boutella melissa roxburgh lydia wilson justin lin
wall·e,adventure animation family sci-fi,earth obesity plant robot soil,john ratzenberger,fred willard,jeff garlin,andrew stanton,adventure animation family sci-fi earth obesity plant robot soil john ratzenberger fred willard jeff garlin andrew stanton
rush hour 3,action comedy crime thriller,ambassador assassination chinese french triad,tzi ma,dana ivey,noémie lenoir,brett ratner,action comedy crime thriller ambassador assassination chinese french triad tzi ma dana ivey noémie lenoir brett ratner
2012,action adventure sci-fi,ark catastrophe geologist president writer,oliver platt,liam james,tom mccarthy,roland emmerich,action adventure sci-fi ark catastrophe geologist president writer oliver platt liam james tom mccarthy roland emmerich
a christmas carol,animation drama family fantasy,charles dickens christmas christmas eve ghost scrooge,robin wright,colin firth,gary oldman,robert zemeckis,animation drama family fantasy charles dickens christmas christmas eve ghost scrooge robin wright colin firth gary oldman robert zemeckis
jupiter ascending,action adventure sci-fi,box office flop critically bashed planet earth space opera woman in bra and panties,channing tatum,mila kunis,eddie redmayne,lana wachowski,action adventure sci-fi box office flop critically bashed planet earth space opera woman in bra and panties channing tatum mila kunis eddie redmayne lana wachowski
the legend of tarzan,action adventure drama romance,africa capture jungle male objectification tarzan,christoph waltz,alexander skarsgård,casper crump,david yates,action adventure drama romance africa capture jungle male objectification tarzan christoph waltz alexander skarsgård casper crump david yates
"the chronicles of narnia: the lion, the witch and the wardrobe",adventure family fantasy,hide and seek lion magic professor snow,jim broadbent,kiran shah,shane rangi,andrew adamson,adventure family fantasy hide and seek lion magic professor snow jim broadbent kiran shah shane rangi andrew adamson
x-men: apocalypse,action adventure sci-fi,mutant superhero superhero team x men year 1983,jennifer lawrence,michael fassbender,tye sheridan,bryan singer,action adventure sci-fi mutant superhero superhero team x men year 1983 jennifer lawrence michael fassbender tye sheridan bryan singer
the dark knight,action crime drama thriller,based on comic book dc comics psychopath star died before release urban setting,christian bale,heath ledger,morgan freeman,christopher nolan,action crime drama thriller based on comic book dc comics psychopath star died before release urban setting christian bale heath ledger morgan freeman christopher nolan
up,adventure animation comedy family,balloon house promise retirement skeleton,john ratzenberger,delroy lindo,jess harnell,pete docter,adventure animation comedy family balloon house promise retirement skeleton john ratzenberger delroy lindo jess harnell pete docter
monsters vs. aliens,action adventure animation comedy family sci-fi,alien alien invasion alien space craft giant giantess,amy poehler,rainn wilson,stephen colbert,rob letterman,action adventure animation comedy family sci-fi alien alien invasion alien space craft giant giantess amy poehler rainn wilson stephen colbert rob letterman
iron man,action adventure sci-fi,afghanistan billionaire inventor playboy u.s. air force,robert downey jr.,jeff bridges,jon favreau,jon favreau,action adventure sci-fi afghanistan billionaire inventor playboy u.s. air force robert downey jr. jeff bridges jon favreau jon favreau
hugo,adventure drama family mystery,automaton mechanical railway station steampunk train,chloë grace moretz,christopher lee,ray winstone,martin scorsese,adventure drama family mystery automaton mechanical railway station steampunk train chloë grace moretz christopher lee ray winstone martin scorsese
wild wild west,action comedy sci-fi western,buddy movie general inventor steampunk utah,will smith,salma hayek,bai ling,barry sonnenfeld,action comedy sci-fi western buddy movie general inventor steampunk utah will smith salma hayek bai ling barry sonnenfeld
the mummy: tomb of the dragon emperor,action adventure fantasy horror thriller,army china emperor mummy shangri la,jet li,brendan fraser,russell wong,rob cohen,action adventure fantasy horror thriller army china emperor mummy shangri la jet li brendan fraser russell wong rob cohen
suicide squad,action adventure comedy sci-fi,based on comic book critically bashed father daughter relationship reference to superman super villain,will smith,robin atkin downes,ike barinholtz,david ayer,action adventure comedy sci-fi based on comic book critically bashed father daughter relationship reference to superman super villain will smith robin atkin downes ike barinholtz david ayer
evan almighty,comedy family fantasy,ark change congressman depiction of god flood,jimmy bennett,morgan freeman,steve carell,tom shadyac,comedy family fantasy ark change congressman depiction of god flood jimmy bennett morgan freeman steve carell tom shadyac
edge of tomorrow,action adventure sci-fi,alien combat dying repeatedly end of the world time loop,tom cruise,lara pulver,noah taylor,doug liman,action adventure sci-fi alien combat dying repeatedly end of the world time loop tom cruise lara pulver noah taylor doug liman
waterworld,action adventure sci-fi thriller,future sail sea smoker water,jeanne tripplehorn,rick aviles,zakes mokae,kevin reynolds,action adventure sci-fi thriller future sail sea smoker water jeanne tripplehorn rick aviles zakes mokae kevin reynolds
g.i. joe: the rise of cobra,action adventure sci-fi thriller,cobra gi joe snake train warhead,joseph gordon-levitt,dennis quaid,leo howard,stephen sommers,action adventure sci-fi thriller cobra gi joe snake train warhead joseph gordon-levitt dennis quaid leo howard stephen sommers
inside out,adventure animation comedy drama family fantasy,anger joy memory running away sadness,amy poehler,mindy kaling,phyllis smith,pete docter,adventure animation comedy drama family fantasy anger joy memory running away sadness amy poehler mindy kaling phyllis smith pete docter
the jungle book,adventure drama family fantasy,fire jungle remake tiger wolf,scarlett johansson,bill murray,garry shandling,jon favreau,adventure drama family fantasy fire jungle remake tiger wolf scarlett johansson bill murray garry shandling jon favreau
iron man 2,action adventure sci-fi,hammer military monaco revenge tony stark,robert downey jr.,scarlett johansson,jon favreau,jon favreau,action adventure sci-fi hammer military monaco revenge tony stark robert downey jr. scarlett johansson jon favreau jon favreau
snow white and the huntsman,action adventure drama fantasy,evil queen fairy tale magic queen snow white,chris hemsworth,kristen stewart,sam claflin,rupert sanders,action adventure drama fantasy evil queen fairy tale magic queen snow white chris hemsworth kristen stewart sam claflin rupert sanders
maleficent,action adventure family fantasy romance,curse dark fantasy fairy king kingdom,angelina jolie pitt,sharlto copley,sam riley,robert stromberg,action adventure family fantasy romance curse dark fantasy fairy king kingdom angelina jolie pitt sharlto copley sam riley robert stromberg
dawn of the planet of the apes,action adventure drama sci-fi,ape dam leader post apocalypse sequel,gary oldman,judy greer,kodi smit-mcphee,matt reeves,action adventure drama sci-fi ape dam leader post apocalypse sequel gary oldman judy greer kodi smit-mcphee matt reeves
the lovers,action adventure romance sci-fi,1770s british india great barrier reef india ring,tamsin egerton,alice englert,bipasha basu,roland joffé,action adventure romance sci-fi 1770s british india great barrier reef india ring tamsin egerton alice englert bipasha basu roland joffé
47 ronin,action adventure drama fantasy,box office flop ronin samurai shogun tournament,keanu reeves,cary-hiroyuki tagawa,jin akanishi,carl rinsch,action adventure drama fantasy box office flop ronin samurai shogun tournament keanu reeves cary-hiroyuki tagawa jin akanishi carl rinsch
captain america: the winter soldier,action adventure sci-fi,conspiracy heroism megalomaniac super soldier world domination,scarlett johansson,chris evans,hayley atwell,anthony russo,action adventure sci-fi conspiracy heroism megalomaniac super soldier world domination scarlett johansson chris evans hayley atwell anthony russo
shrek forever after,adventure animation comedy family fantasy,alternate world fairy tale parody female warrior ogre true love,jon hamm,kathy griffin,mary kay place,mike mitchell,adventure animation comedy family fantasy alternate world fairy tale parody female warrior ogre true love jon hamm kathy griffin mary kay place mike mitchell
tomorrowland,action adventure family mystery sci-fi,boy genius futuristic city inventor teenage girl time travel,judy greer,chris bauer,thomas robinson,brad bird,action adventure family mystery sci-fi boy genius futuristic city inventor teenage girl time travel judy greer chris bauer thomas robinson brad bird
big hero 6,action adventure animation comedy drama family sci-fi,high tech martial arts masked man robot superhero,damon wayans jr.,daniel henney,abraham benrubi,don hall,action adventure animation comedy drama family sci-fi high tech martial arts masked man robot superhero damon wayans jr. daniel henney abraham benrubi don hall
wreck-it ralph,adventure animation comedy family sci-fi,arcade candy glitch king medal,jack mcbrayer,sarah silverman,joe lo truglio,rich moore,adventure animation comedy family sci-fi arcade candy glitch king medal jack mcbrayer sarah silverman joe lo truglio rich moore
the polar express,adventure animation family fantasy,boy christmas christmas eve north pole train,tom hanks,eddie deezen,peter scolari,robert zemeckis,adventure animation family fantasy boy christmas christmas eve north pole train tom hanks eddie deezen peter scolari robert zemeckis
independence day: resurgence,action adventure sci-fi,alien battle defense independence day mothership,vivica a. fox,sela ward,judd hirsch,roland emmerich,action adventure sci-fi alien battle defense independence day mothership vivica a. fox sela ward judd hirsch roland emmerich
how to train your dragon,adventure animation family fantasy,dragon island training viking village,gerard butler,america ferrera,craig ferguson,dean deblois,adventure animation family fantasy dragon island training viking village gerard butler america ferrera craig ferguson dean deblois
terminator 3: rise of the machines,action sci-fi,drifter exploding truck future machine skynet,nick stahl,m.c. gainey,carolyn hennesy,jonathan mostow,action sci-fi drifter exploding truck future machine skynet nick stahl m.c. gainey carolyn hennesy jonathan mostow
guardians of the galaxy,action adventure sci-fi,bounty hunter outer space raccoon talking animal tree,bradley cooper,vin diesel,djimon hounsou,james gunn,action adventure sci-fi bounty hunter outer space raccoon talking animal tree bradley cooper vin diesel djimon hounsou james gunn
interstellar,adventure drama sci-fi,black hole father daughter relationship saving the world space travel wormhole,matthew mcconaughey,anne hathaway,mackenzie foy,christopher nolan,adventure drama sci-fi black hole father daughter relationship saving the world space travel wormhole matthew mcconaughey anne hathaway mackenzie foy christopher nolan
inception,action adventure sci-fi thriller,ambiguous ending corporate espionage dream subconscious thief,leonardo dicaprio,tom hardy,joseph gordon-levitt,christopher nolan,action adventure sci-fi thriller ambiguous ending corporate espionage dream subconscious thief leonardo dicaprio tom hardy joseph gordon-levitt christopher nolan
godzilla resurgence,action adventure drama horror sci-fi,blood godzilla monster sequel,mark chinnery,shin'ya tsukamoto,atsuko maeda,hideaki anno,action adventure drama horror sci-fi blood godzilla monster sequel mark chinnery shin'ya tsukamoto atsuko maeda hideaki anno
the hobbit: an unexpected journey,adventure fantasy,dragon dwarf hobbit orc wizard,aidan turner,adam brown,james nesbitt,peter jackson,adventure fantasy dragon dwarf hobbit orc wizard aidan turner adam brown james nesbitt peter jackson
the fast and the furious,action crime thriller,eighteen wheeler illegal street racing truck trucker undercover cop,paul walker,vin diesel,jordana brewster,rob cohen,action crime thriller eighteen wheeler illegal street racing truck trucker undercover cop paul walker vin diesel jordana brewster rob cohen
the curious case of benjamin button,drama fantasy romance,deformed baby diary lingerie slip older man younger woman relationship premature aging,brad pitt,jason flemyng,julia ormond,david fincher,drama fantasy romance deformed baby diary lingerie slip older man younger woman relationship premature aging brad pitt jason flemyng julia ormond david fincher
x-men: first class,action adventure sci-fi,cia cia agent mutant nuclear war professor,jennifer lawrence,michael fassbender,oliver platt,matthew vaughn,action adventure sci-fi cia cia agent mutant nuclear war professor jennifer lawrence michael fassbender oliver platt matthew vaughn
the hunger games: mockingjay - part 2,adventure sci-fi,death of sister dystopia execution rebellion revolution,jennifer lawrence,philip seymour hoffman,josh hutcherson,francis lawrence,adventure sci-fi death of sister dystopia execution rebellion revolution jennifer lawrence philip seymour hoffman josh hutcherson francis lawrence
the sorcerer's apprentice,action adventure family fantasy,chosen one enchanted object love spell training,nicolas cage,omar benson miller,robert capron,jon turteltaub,action adventure family fantasy chosen one enchanted object love spell training nicolas cage omar benson miller robert capron jon turteltaub
poseidon,action adventure drama thriller,cruise escape ocean passenger water,jimmy bennett,mike vogel,andre braugher,wolfgang petersen,action adventure drama thriller cruise escape ocean passenger water jimmy bennett mike vogel andre braugher wolfgang petersen
alice through the looking glass,adventure family fantasy,clock dark fantasy mad hatter queen sequel,johnny depp,alan rickman,anne hathaway,james bobin,adventure family fantasy clock dark fantasy mad hatter queen sequel johnny depp alan rickman anne hathaway james bobin
shrek the third,adventure animation comedy family fantasy,disney spoof fairy tale prince princess tough guy,justin timberlake,eric idle,rupert everett,chris miller,adventure animation comedy family fantasy disney spoof fairy tale prince princess tough guy justin timberlake eric idle rupert everett chris miller
warcraft,action adventure fantasy,based on video game fictional language fictional war orc sword and sorcery,dominic cooper,callum rennie,ruth negga,duncan jones,action adventure fantasy based on video game fictional language fictional war orc sword and sorcery dominic cooper callum rennie ruth negga duncan jones
terminator genisys,action adventure sci-fi,alternate timeline cyborg future robot time machine,j.k. simmons,emilia clarke,matt smith,alan taylor,action adventure sci-fi alternate timeline cyborg future robot time machine j.k. simmons emilia clarke matt smith alan taylor
the chronicles of narnia: the voyage of the dawn treader,adventure family fantasy,dragon king mouse quest warrior,bruce spence,shane rangi,laura brent,michael apted,adventure family fantasy dragon king mouse quest warrior bruce spence shane rangi laura brent michael apted
pearl harbor,action drama history romance war,air raid black smoke japanese military japanese navy sunday,jennifer garner,jaime king,mako,michael bay,action drama history romance war air raid black smoke japanese military japanese navy sunday jennifer garner jaime king mako michael bay
transformers,action adventure sci-fi,alien contact autobot decepticon robot vs. robot teenage hero,zack ward,michael o'neill,kevin dunn,michael bay,action adventure sci-fi alien contact autobot decepticon robot vs. robot teenage hero zack ward michael o'neill kevin dunn michael bay
alexander,action adventure biography drama history romance war,ancient greece conquest greek greek myth king,anthony hopkins,angelina jolie pitt,brian blessed,oliver stone,action adventure biography drama history romance war ancient greece conquest greek greek myth king anthony hopkins angelina jolie pitt brian blessed oliver stone
harry potter and the order of the phoenix,adventure family fantasy mystery,battle magic school teacher wizard,robert pattinson,daniel radcliffe,fiona shaw,david yates,adventure family fantasy mystery battle magic school teacher wizard robert pattinson daniel radcliffe fiona shaw david yates
harry potter and the goblet of fire,adventure family fantasy mystery,fire goblet magic tournament wizard,robert pattinson,daniel radcliffe,rupert grint,mike newell,adventure family fantasy mystery fire goblet magic tournament wizard robert pattinson daniel radcliffe rupert grint mike newell
hancock,action drama,bully comeuppance destruction prison superhero tough girl,will smith,charlize theron,eddie marsan,peter berg,action drama bully comeuppance destruction prison superhero tough girl will smith charlize theron eddie marsan peter berg
i am legend,drama horror sci-fi,new york city pandemic post apocalypse survivalist virus,will smith,alice braga,willow smith,francis lawrence,drama horror sci-fi new york city pandemic post apocalypse survivalist virus will smith alice braga willow smith francis lawrence
charlie and the chocolate factory,adventure comedy family fantasy,chocolate diminution miniaturization physical flexability ticket,johnny depp,christopher lee,david kelly,tim burton,adventure comedy family fantasy chocolate diminution miniaturization physical flexability ticket johnny depp christopher lee david kelly tim burton
ratatouille,animation comedy family fantasy,chef food french rat restaurant,janeane garofalo,john ratzenberger,brian dennehy,brad bird,animation comedy family fantasy chef food french rat restaurant janeane garofalo john ratzenberger brian dennehy brad bird
batman begins,action adventure,armored car gangster gotham mixed martial arts social decay,christian bale,liam neeson,morgan freeman,christopher nolan,action adventure armored car gangster gotham mixed martial arts social decay christian bale liam neeson morgan freeman christopher nolan
madagascar: escape 2 africa,action adventure animation comedy family,africa madagascar new york city sequel zoo,bernie mac,jada pinkett smith,cedric the entertainer,eric darnell,action adventure animation comedy family africa madagascar new york city sequel zoo bernie mac jada pinkett smith cedric the entertainer eric darnell
night at the museum: battle of the smithsonian,adventure comedy family fantasy,hdtv motorcycle museum security guard tyrannosaurus rex,robin williams,rami malek,steve coogan,shawn levy,adventure comedy family fantasy hdtv motorcycle museum security guard tyrannosaurus rex robin williams rami malek steve coogan shawn levy
